tabela_id,regiao_nome,sexo,nivel_instrucao,variavel_nome,unidade_medida,valor,ano,periodo_label,valor_imputado,is_outlier,indicador_tabela,valor_normalizado
7322,Sul,Feminino,Superior completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,2494.0,2022,2022,2494.0,False,Rendimento por nível de instrução,0.16287540886113588
7322,Sul,Masculino,Total,Pessoas de 10 anos ou mais de idade,Mil pessoas,13219.0,2023,2023,13219.0,True,Rendimento por nível de instrução,0.960154623847755
7322,Sul,Masculino,Sem instrução,Pessoas de 10 anos ou mais de idade,Mil pessoas,347.0,2023,2023,347.0,False,Rendimento por nível de instrução,0.0032708890871245913
7322,Sul,Masculino,Fundamental incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,4169.0,2023,2023,4169.0,False,Rendimento por nível de instrução,0.28739220933690157
7322,Sul,Masculino,Fundamental completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,1315.0,2023,2023,1315.0,False,Rendimento por nível de instrução,0.0752304490038656
7322,Sul,Masculino,Médio incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,1028.0,2023,2023,1028.0,False,Rendimento por nível de instrução,0.053895331549212
7322,Sul,Masculino,Médio completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,3674.0,2023,2023,3674.0,False,Rendimento por nível de instrução,0.2505947071067499
7322,Sul,Masculino,Superior incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,746.0,2023,2023,746.0,False,Rendimento por nível de instrução,0.03293190603627713
7322,Sul,Masculino,Superior completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,1939.0,2023,2023,1939.0,False,Rendimento por nível de instrução,0.12161760333035979
7322,Sul,Feminino,Total,Pessoas de 10 anos ou mais de idade,Mil pessoas,13599.0,2023,2023,13599.0,True,Rendimento por nível de instrução,0.9884032114183764
7322,Sul,Feminino,Sem instrução,Pessoas de 10 anos ou mais de idade,Mil pessoas,433.0,2023,2023,433.0,False,Rendimento por nível de instrução,0.009663990484686292
7322,Sul,Feminino,Fundamental incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,4075.0,2023,2023,4075.0,False,Rendimento por nível de instrução,0.28040440083258994
7322,Sul,Feminino,Fundamental completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,1220.0,2023,2023,1220.0,False,Rendimento por nível de instrução,0.06816830211121022
7322,Sul,Feminino,Médio incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,905.0,2023,2023,905.0,False,Rendimento por nível de instrução,0.0447517097829319
7322,Sul,Feminino,Médio completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,3573.0,2023,2023,3573.0,False,Rendimento por nível de instrução,0.24308652988403207
7322,Sul,Feminino,Superior incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,778.0,2023,2023,778.0,False,Rendimento por nível de instrução,0.03531073446327683
7322,Sul,Feminino,Superior completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,2617.0,2023,2023,2617.0,False,Rendimento por nível de instrução,0.17201903062741597
7322,Sul,Masculino,Total,Pessoas de 10 anos ou mais de idade,Mil pessoas,13219.0,2024,2024,13219.0,True,Rendimento por nível de instrução,0.960154623847755
7322,Sul,Masculino,Sem instrução,Pessoas de 10 anos ou mais de idade,Mil pessoas,332.0,2024,2024,332.0,False,Rendimento por nível de instrução,0.002155813261968481
7322,Sul,Masculino,Fundamental incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,3904.0,2024,2024,3904.0,False,Rendimento por nível de instrução,0.26769253642581026
7322,Sul,Masculino,Fundamental completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,1260.0,2024,2024,1260.0,False,Rendimento por nível de instrução,0.07114183764495985
7322,Sul,Masculino,Médio incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,996.0,2024,2024,996.0,False,Rendimento por nível de instrução,0.0515165031222123
7322,Sul,Masculino,Médio completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,3936.0,2024,2024,3936.0,False,Rendimento por nível de instrução,0.27007136485280997
7322,Sul,Masculino,Superior incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,729.0,2024,2024,729.0,False,Rendimento por nível de instrução,0.031668153434433535
7322,Sul,Masculino,Superior completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,2061.0,2024,2024,2061.0,False,Rendimento por nível de instrução,0.13068688670829615
7322,Sul,Feminino,Total,Pessoas de 10 anos ou mais de idade,Mil pessoas,13755.0,2024,2024,13755.0,True,Rendimento por nível de instrução,0.9999999999999999
7322,Sul,Feminino,Sem instrução,Pessoas de 10 anos ou mais de idade,Mil pessoas,427.0,2024,2024,427.0,False,Rendimento por nível de instrução,0.00921796015462385
7322,Sul,Feminino,Fundamental incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,3878.0,2024,2024,3878.0,False,Rendimento por nível de instrução,0.265759738328873
7322,Sul,Feminino,Fundamental completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,1131.0,2024,2024,1131.0,False,Rendimento por nível de instrução,0.0615521855486173
7322,Sul,Feminino,Médio incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,894.0,2024,2024,894.0,False,Rendimento por nível de instrução,0.043933987511150754
7322,Sul,Feminino,Médio completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,3863.0,2024,2024,3863.0,False,Rendimento por nível de instrução,0.2646446625037169
7322,Sul,Feminino,Superior incompleto,Pessoas de 10 anos ou mais de idade,Mil pessoas,818.0,2024,2024,818.0,False,Rendimento por nível de instrução,0.03828426999702646
7322,Sul,Feminino,Superior completo,Pessoas de 10 anos ou mais de idade,Mil pessoas,2744.0,2024,2024,2744.0,False,Rendimento por nível de instrução,0.18146000594707104
