tabela_id,uf_nome,sexo,variavel_nome,unidade_medida,valor,ano,trimestre,periodo_label,valor_imputado,is_outlier,indicador_tabela,valor_normalizado,faixa_rendimento,gap_salarial_pct
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,,2021,3,2021-T3,32.6375,False,Força de trabalho e informalidade,0.8750000000000004,Não se aplica,
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,,2021,3,2021-T3,30.56875,False,Força de trabalho e informalidade,0.6701732673267329,Não se aplica,
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,,2021,4,2021-T4,3390.4375,False,Força de trabalho e informalidade,0.9537306201550387,Não se aplica,
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,,2021,4,2021-T4,2599.875,False,Força de trabalho e informalidade,0.5159883720930233,Não se aplica,
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,,2021,4,2021-T4,32.6375,False,Força de trabalho e informalidade,0.8750000000000004,Não se aplica,
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,,2021,4,2021-T4,30.56875,False,Força de trabalho e informalidade,0.6701732673267329,Não se aplica,
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,,2022,1,2022-T1,3390.4375,False,Força de trabalho e informalidade,0.9537306201550387,Não se aplica,
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,,2022,1,2022-T1,2599.875,False,Força de trabalho e informalidade,0.5159883720930233,Não se aplica,
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,,2022,1,2022-T1,32.6375,False,Força de trabalho e informalidade,0.8750000000000004,Não se aplica,
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,,2022,1,2022-T1,30.56875,False,Força de trabalho e informalidade,0.6701732673267329,Não se aplica,
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,3277.0,2022,2,2022-T2,3277.0,False,Força de trabalho e informalidade,0.8909191583610189,Não se aplica,36.77
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,2514.0,2022,2,2022-T2,2514.0,False,Força de trabalho e informalidade,0.46843853820598,Não se aplica,36.77
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,33.1,2022,2,2022-T2,33.1,False,Força de trabalho e informalidade,0.9207920792079212,Não se aplica,36.77
4093,Paraná,Feminino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,31.6,2022,2,2022-T2,31.6,False,Força de trabalho e informalidade,0.7722772277227725,Não se aplica,36.77
4093,Paraná,Masculino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,3373.0,2022,3,2022-T3,3373.0,False,Força de trabalho e informalidade,0.9440753045404208,Não se aplica,39.19
4093,Paraná,Feminino,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,2558.0,2022,3,2022-T3,2558.0,False,Força de trabalho e informalidade,0.4928017718715393,Não se aplica,39.19
4093,Paraná,Masculino,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,33.5,2022,3,2022-T3,33.5,False,Força de trabalho e informalidade,0.9603960396039608,Não se aplica,39.19
